InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
500000,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2023-11-27 18:07:00,2.55,CUST-10152,United Kingdom
500000,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2023-12-18 10:21:00,4.95,CUST-10039,United Kingdom
500000,22633,HAND WARMER UNION JACK,1,2023-09-15 13:43:00,2.1,CUST-10011,United Kingdom
500001,84406B,CREAM CUPID HEARTS COAT HANGER,6,2023-04-25 11:56:00,4.25,CUST-10110,United Kingdom
500001,71053,WHITE METAL LANTERN,4,2023-01-09 17:52:00,3.75,CUST-10403,United Kingdom
500001,22632,HAND WARMER RED RETROSPOT,4,2023-10-08 11:49:00,2.1,CUST-10013,United Kingdom
500002,22960,JAM MAKING SET WITH JARS,12,2023-09-01 09:09:00,4.95,CUST-10017,United Kingdom
500002,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2023-09-30 09:46:00,4.95,CUST-10099,United Kingdom
C500002,22633,HAND WARMER UNION JACK,-4,2023-09-22 16:06:00,2.1,CUST-10044,United Kingdom
500003,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2023-12-09 08:58:00,4.95,CUST-10372,Germany
500003,22960,JAM MAKING SET WITH JARS,1,2023-04-18 14:22:00,4.95,CUST-10092,Germany
500003,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2023-07-10 08:04:00,12.75,CUST-10160,United Kingdom
500004,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-09-20 14:48:00,4.95,CUST-10059,United Kingdom
500004,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-04-06 14:58:00,4.25,CUST-10088,United Kingdom
500004,22960,JAM MAKING SET WITH JARS,6,2023-04-18 19:19:00,4.95,CUST-10417,United Kingdom
500005,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-05-01 18:56:00,4.95,CUST-10518,United Kingdom
500005,23084,RABBIT NIGHT LIGHT,1,2023-10-21 19:23:00,2.08,CUST-10110,United Kingdom
500005,71053,WHITE METAL LANTERN,4,2023-09-09 19:38:00,3.75,CUST-10057,United Kingdom
500006,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-03-28 12:31:00,2.95,CUST-10443,United Kingdom
500006,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-09-20 15:58:00,2.95,CUST-10127,United Kingdom
500006,22752,SET 7 BABUSHKA NESTING BOXES,4,2023-06-06 16:58:00,8.5,CUST-10203,United Kingdom
500007,22633,HAND WARMER UNION JACK,4,2023-11-24 14:51:00,2.1,CUST-10356,United Kingdom
500007,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2023-12-17 17:34:00,3.25,CUST-10024,United Kingdom
500007,22197,SMALL POPCORN HOLDER,1,2023-12-06 12:36:00,0.85,CUST-10047,Germany
500008,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2023-04-30 08:23:00,4.95,CUST-10443,United Kingdom
500008,71053,WHITE METAL LANTERN,1,2023-10-26 16:28:00,3.75,CUST-10024,United Kingdom
500008,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2023-09-25 08:13:00,4.95,CUST-10032,United Kingdom
500009,22752,SET 7 BABUSHKA NESTING BOXES,1,2023-11-11 13:54:00,8.5,CUST-10047,France
500009,23084,RABBIT NIGHT LIGHT,2,2023-12-12 08:27:00,2.08,CUST-10080,United Kingdom
500009,22960,JAM MAKING SET WITH JARS,12,2023-08-05 19:27:00,4.95,CUST-10048,United Kingdom
500010,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2023-04-05 10:32:00,4.95,CUST-10435,United Kingdom
500010,22632,HAND WARMER RED RETROSPOT,1,2023-09-11 17:02:00,2.1,CUST-10024,United Kingdom
500010,22632,HAND WARMER RED RETROSPOT,4,2023-11-26 17:16:00,2.1,CUST-10041,United Kingdom
500011,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-08-18 16:23:00,2.55,,United Kingdom
500011,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-12-10 19:50:00,3.25,CUST-10045,United Kingdom
500011,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2023-09-20 13:57:00,12.75,CUST-10057,United Kingdom
500012,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2023-07-27 12:43:00,1.69,CUST-10032,United Kingdom
500012,22960,JAM MAKING SET WITH JARS,1,2023-07-23 09:41:00,4.95,CUST-10114,United Kingdom
500012,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-11-13 14:08:00,1.69,CUST-10025,United Kingdom
500013,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2023-05-29 15:44:00,4.95,CUST-10107,United Kingdom
500013,22752,SET 7 BABUSHKA NESTING BOXES,1,2023-11-30 10:36:00,8.5,CUST-10285,United Kingdom
500013,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2023-05-24 17:25:00,4.95,CUST-10586,United Kingdom
500014,23084,RABBIT NIGHT LIGHT,1,2023-06-09 09:51:00,2.08,CUST-10128,United Kingdom
500014,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-07-23 14:01:00,2.95,CUST-10225,United Kingdom
500014,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-08-27 18:36:00,1.69,CUST-10092,United Kingdom
500015,71053,WHITE METAL LANTERN,4,2023-09-03 09:50:00,3.75,CUST-10030,Germany
500015,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2023-11-11 16:06:00,4.95,CUST-10033,United Kingdom
500015,84406B,CREAM CUPID HEARTS COAT HANGER,2,2023-09-09 10:48:00,4.25,CUST-10197,United Kingdom
500016,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2023-01-12 08:54:00,2.55,CUST-10426,United Kingdom
500016,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2023-09-04 10:48:00,4.95,CUST-10145,United Kingdom
500016,23084,RABBIT NIGHT LIGHT,1,2023-02-21 10:57:00,2.08,CUST-10517,United Kingdom
500017,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2023-12-17 16:38:00,2.55,CUST-10052,United Kingdom
500017,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,2023-11-22 19:08:00,12.75,CUST-10284,United Kingdom
500017,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2023-08-15 17:01:00,4.95,CUST-10008,Germany
500018,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-03-12 16:44:00,4.95,CUST-10534,United Kingdom
500018,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-07-18 14:02:00,2.55,CUST-10299,United Kingdom
500018,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2023-07-20 10:12:00,1.69,CUST-10040,Germany
500019,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-09-15 19:44:00,2.55,CUST-10005,Netherlands
500019,71053,WHITE METAL LANTERN,1,2023-12-13 11:56:00,3.75,CUST-10034,Netherlands
500019,22197,SMALL POPCORN HOLDER,1,2023-11-20 14:56:00,0.85,CUST-10212,United Kingdom
500020,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2023-07-01 19:35:00,12.75,CUST-10067,United Kingdom
500020,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2023-12-11 16:32:00,4.95,CUST-10026,France
500020,22633,HAND WARMER UNION JACK,2,2023-10-22 12:46:00,2.1,CUST-10291,United Kingdom
500021,23084,RABBIT NIGHT LIGHT,1,2023-11-14 08:17:00,2.08,CUST-10032,Spain
500021,23084,RABBIT NIGHT LIGHT,1,2023-10-05 16:34:00,2.08,CUST-10370,United Kingdom
500021,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2023-01-03 12:22:00,4.95,CUST-10491,United Kingdom
500022,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-09-08 11:00:00,2.95,CUST-10000,United Kingdom
500022,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2023-11-15 18:49:00,1.69,CUST-10177,United Kingdom
500022,22960,JAM MAKING SET WITH JARS,4,2023-09-24 12:20:00,4.95,CUST-10106,United Kingdom
500023,23084,RABBIT NIGHT LIGHT,4,2023-12-12 18:50:00,2.08,CUST-10157,France
500023,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-09-08 08:04:00,2.55,CUST-10041,United Kingdom
500023,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-11-18 12:01:00,2.55,CUST-10093,United Kingdom
500024,22632,HAND WARMER RED RETROSPOT,1,2023-06-04 18:53:00,2.1,CUST-10139,Germany
500024,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2023-07-01 10:18:00,4.95,CUST-10120,United Kingdom
500024,71053,WHITE METAL LANTERN,1,2023-07-31 17:45:00,3.75,CUST-10040,United Kingdom
500025,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2023-06-16 08:25:00,4.95,CUST-10115,United Kingdom
500025,22632,HAND WARMER RED RETROSPOT,4,2023-03-29 14:13:00,2.1,CUST-10073,United Kingdom
500025,71053,WHITE METAL LANTERN,2,2023-10-14 19:44:00,3.75,CUST-10360,United Kingdom
500026,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2023-11-29 14:21:00,12.75,CUST-10098,United Kingdom
500026,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-07-25 11:46:00,8.5,CUST-10168,United Kingdom
500026,22632,HAND WARMER RED RETROSPOT,2,2023-08-14 09:58:00,2.1,CUST-10005,United Kingdom
500027,22197,SMALL POPCORN HOLDER,1,2023-11-08 11:29:00,0.85,CUST-10005,Germany
500027,22632,HAND WARMER RED RETROSPOT,1,2023-08-28 12:35:00,2.1,CUST-10030,Germany
500027,84406B,CREAM CUPID HEARTS COAT HANGER,6,2023-10-01 15:37:00,4.25,CUST-10322,United Kingdom
500028,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-09-07 17:53:00,4.95,CUST-10342,United Kingdom
500028,23084,RABBIT NIGHT LIGHT,2,2023-04-08 12:10:00,2.08,CUST-10123,United Kingdom
500028,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2023-12-04 19:01:00,2.55,CUST-10022,United Kingdom
500029,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-12-18 13:54:00,4.25,CUST-10014,Spain
500029,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-12-03 09:11:00,4.25,CUST-10055,Germany
500029,84406B,CREAM CUPID HEARTS COAT HANGER,1,2023-08-02 19:29:00,4.25,CUST-10040,United Kingdom
