App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Pro 3D Heal 1,HEALTH_AND_FITNESS,3.6,146,31.1M,"5,000+",Free,$0,Everyone,Health & Fitness,"August 14, 2024",1.0.1,4.4 and up
Daily Plus Prod 2,PRODUCTIVITY,4.3,300,21.3M,"5,000+",Free,$0,Everyone,Productivity,"March 23, 2024",4.5.4,4.4 and up
Super Hub Prod 3,PRODUCTIVITY,4.3,3,13.4M,100+,Paid,$1.49,Teen,Productivity,"January 18, 2024",3.9.5,7.0 and up
Pro Flow Prod 4,PRODUCTIVITY,4.7,129764,Varies with device,"5,000,000+",Free,$0,Everyone,Productivity,"July 9, 2024",4.5.2,5.0 and up
NextGen Hero Fina 5,FINANCE,3.9,1,Varies with device,10+,Free,$0,Mature 17+,Finance,"October 8, 2024",2.7.6,5.0 and up
NextGen Lite Heal 6,HEALTH_AND_FITNESS,3.9,34,3.4M,500+,Free,$0,Everyone,Health & Fitness,"January 7, 2024",5.5.3,8.0 and up
NextGen Studio Phot 7,PHOTOGRAPHY,2.8,1000,25.2M,"50,000+",Free,$0,Teen,Photography,"August 13, 2024",3.3.2,7.0 and up
Pro Hub Phot 8,PHOTOGRAPHY,4.7,1034,27.6M,"50,000+",Free,$0,Mature 17+,Photography,"July 17, 2024",3.8.0,8.0 and up
NextGen Portal Pers 9,PERSONALIZATION,4.0,6256,14.6M,"100,000+",Free,$0,Everyone,Personalization,"October 24, 2024",3.8.2,7.0 and up
Easy Flow Game 10,GAME,3.8,45536,27.9M,"1,000,000+",Free,$0,Mature 17+,Card,"January 20, 2024",3.7.0,4.1 and up
Quick Tracker Fina 11,FINANCE,3.9,268,Varies with device,"10,000+",Free,$0,Everyone,Finance,"August 25, 2024",2.2.7,7.0 and up
Daily Vault Tool 12,TOOLS,4.5,19809,33.4M,"500,000+",Free,$0,Everyone,Tools,"July 22, 2024",3.7.8,6.0 and up
Quick Hub Game 13,GAME,4.2,336659,32.6M,"10,000,000+",Paid,$2.99,Everyone,Arcade,"January 28, 2024",3.1.8,4.4 and up
Quick Portal Medi 14,MEDICAL,3.9,9,22.3M,500+,Free,$0,Teen,Medical,"March 4, 2024",1.6.5,6.0 and up
Fast Tracker Comm 15,COMMUNICATION,3.9,57,Varies with device,"1,000+",Free,$0,Everyone,Communication,"January 8, 2024",2.3.8,6.0 and up
Smart Hero Tool 16,TOOLS,4.7,42,Varies with device,"1,000+",Free,$0,Mature 17+,Tools,"January 2, 2024",5.0.1,4.4 and up
Master Studio Tool 17,TOOLS,3.6,124811,Varies with device,"5,000,000+",Free,$0,Teen,Tools,"May 26, 2024",4.4.6,8.0 and up
Smart Plus Pers 18,PERSONALIZATION,4.1,307,25.3M,"10,000+",Free,$0,Everyone,Personalization,"January 19, 2024",4.8.8,4.4 and up
Smart Hub Fami 19,FAMILY,4.1,1,7.2M,10+,Free,$0,Everyone,Casual,"August 20, 2024",1.9.1,6.0 and up
Easy Plus Heal 20,HEALTH_AND_FITNESS,4.4,5688,7.6M,"100,000+",Free,$0,Teen,Health & Fitness,"May 25, 2024",1.0.7,7.0 and up
Super Portal Busi 21,BUSINESS,5.0,124,39.9M,"5,000+",Free,$0,Everyone,Business,"May 6, 2024",4.8.4,7.0 and up
NextGen Portal Heal 22,HEALTH_AND_FITNESS,4.8,15,7.8M,500+,Free,$0,Everyone,Health & Fitness,"October 18, 2024",2.4.4,7.0 and up
Quick Flow Prod 23,PRODUCTIVITY,4.3,5439665,40.9M,"100,000,000+",Free,$0,Everyone,Productivity,"October 14, 2024",3.0.0,5.0 and up
Smart 3D Tool 24,TOOLS,4.6,2046424,6.8M,"50,000,000+",Free,$0,Everyone 10+,Tools,"March 18, 2024",1.5.9,7.0 and up
Smart Tracker Tool 25,TOOLS,3.7,31,39.0M,"1,000+",Free,$0,Everyone,Tools,"October 8, 2024",1.5.8,6.0 and up
Quick Manager Busi 26,BUSINESS,3.4,78,3.1M,"1,000+",Free,$0,Everyone,Business,"July 26, 2024",2.4.2,8.0 and up
Pro Studio Game 27,GAME,3.5,2557036,39.4M,"100,000,000+",Free,$0,Everyone,Role Playing,"March 1, 2024",2.6.5,5.0 and up
Pocket Flow Game 28,GAME,3.7,456583,41.5M,"10,000,000+",Paid,$3.99,Everyone,Strategy,"August 9, 2024",1.1.9,6.0 and up
Hyper Vault Fina 29,FINANCE,4.5,7,10.2M,100+,Paid,$14.99,Mature 17+,Finance,"October 24, 2024",2.5.6,4.1 and up
Global Lite Heal 30,HEALTH_AND_FITNESS,4.6,28218,23.8M,"500,000+",Free,$0,Everyone,Health & Fitness,"July 23, 2024",3.8.2,4.4 and up
NextGen 3D Comm 31,COMMUNICATION,4.1,3659819,25.6M,"50,000,000+",Paid,$7.99,Mature 17+,Communication,"August 21, 2024",3.7.7,6.0 and up
Daily Studio Heal 32,HEALTH_AND_FITNESS,3.9,6,30.3M,100+,Free,$0,Everyone 10+,Health & Fitness,"October 20, 2024",3.1.3,8.0 and up
Quick Manager Medi 33,MEDICAL,3.4,58548,38.5M,"5,000,000+",Paid,$2.99,Everyone 10+,Medical,"October 13, 2024",4.6.3,4.4 and up
Super Assistant Heal 34,HEALTH_AND_FITNESS,4.8,1,22.0M,50+,Free,$0,Everyone,Health & Fitness,"July 5, 2024",4.8.8,7.0 and up
Global 3D Fina 35,FINANCE,4.8,362,21.2M,"5,000+",Free,$0,Teen,Finance,"July 9, 2024",2.4.8,6.0 and up
Easy Studio Heal 36,HEALTH_AND_FITNESS,3.7,1542,15.7M,"100,000+",Free,$0,Everyone,Health & Fitness,"March 8, 2024",4.2.3,4.1 and up
Pocket Portal Comm 37,COMMUNICATION,,4261470,18.7M,"100,000,000+",Free,$0,Everyone 10+,Communication,"January 28, 2024",5.6.7,4.1 and up
Hyper Assistant Fina 38,FINANCE,4.4,476,40.6M,"10,000+",Free,$0,Everyone,Finance,"July 16, 2024",1.6.5,8.0 and up
Fast Manager Heal 39,HEALTH_AND_FITNESS,3.8,68835,25.0M,"1,000,000+",Free,$0,Mature 17+,Health & Fitness,"August 22, 2024",1.1.6,4.4 and up
Pro Hero Phot 40,PHOTOGRAPHY,4.2,36537,34.7M,"1,000,000+",Free,$0,Teen,Photography,"May 27, 2024",1.7.0,8.0 and up
Pocket Plus Life 41,LIFESTYLE,5.0,2775,34.4M,"50,000+",Free,$0,Everyone,Lifestyle,"January 20, 2024",2.3.2,6.0 and up
Global Plus Heal 42,HEALTH_AND_FITNESS,4.2,425,28.1M,"10,000+",Free,$0,Everyone 10+,Health & Fitness,"January 25, 2024",2.4.1,7.0 and up
Global Flow Fami 43,FAMILY,4.0,367,10.5M,"5,000+",Free,$0,Everyone 10+,Entertainment,"March 4, 2024",3.9.1,7.0 and up
Daily Assistant Fami 44,FAMILY,,2815,2.5M,"50,000+",Free,$0,Teen,Entertainment,"January 14, 2024",3.7.2,6.0 and up
Global Portal Tool 45,TOOLS,3.9,3211245,27.5M,"50,000,000+",Free,$0,Everyone,Tools,"January 9, 2024",4.3.7,7.0 and up
Pocket Tracker Busi 46,BUSINESS,3.4,22300,17.3M,"500,000+",Free,$0,Everyone,Business,"August 23, 2024",3.8.0,7.0 and up
Quick 3D Prod 47,PRODUCTIVITY,4.1,384,22.5M,"10,000+",Free,$0,Teen,Productivity,"January 3, 2024",3.3.6,8.0 and up
NextGen Vault Prod 48,PRODUCTIVITY,4.0,179,44.9M,"5,000+",Free,$0,Everyone,Productivity,"October 15, 2024",3.4.4,4.4 and up
Quick Lite Game 49,GAME,4.4,18368831,29.8M,"1,000,000,000+",Free,$0,Teen,Card,"May 24, 2024",5.8.9,5.0 and up
Easy Plus Game 50,GAME,4.8,3526167,25.1M,"100,000,000+",Paid,$3.99,Everyone 10+,Arcade,"March 21, 2024",4.1.0,7.0 and up
Master Studio Medi 51,MEDICAL,4.9,33849,39.1M,"1,000,000+",Free,$0,Everyone,Medical,"July 16, 2024",1.9.0,4.4 and up
Super Plus Tool 52,TOOLS,4.3,914580,36.0M,"50,000,000+",Free,$0,Mature 17+,Tools,"July 15, 2024",4.4.9,6.0 and up
Global 3D Medi 53,MEDICAL,4.0,84,13.4M,"5,000+",Free,$0,Everyone,Medical,"March 18, 2024",1.2.0,6.0 and up
Easy Tracker Phot 54,PHOTOGRAPHY,4.0,2620,21.5M,"100,000+",Free,$0,Everyone,Photography,"October 19, 2024",2.6.1,7.0 and up
Easy Manager Prod 55,PRODUCTIVITY,2.8,149986,34.2M,"10,000,000+",Free,$0,Everyone,Productivity,"July 4, 2024",4.4.6,5.0 and up
Master Hub Life 56,LIFESTYLE,4.4,51,28.0M,"1,000+",Paid,$0.99,Everyone 10+,Lifestyle,"May 19, 2024",1.2.7,7.0 and up
Easy Manager Heal 57,HEALTH_AND_FITNESS,4.4,7,43.7M,100+,Free,$0,Teen,Health & Fitness,"May 11, 2024",1.2.5,6.0 and up
Easy Flow Pers 58,PERSONALIZATION,4.1,380,21.6M,"5,000+",Free,$0,Everyone,Personalization,"January 25, 2024",4.8.0,8.0 and up
Hyper Tracker Life 59,LIFESTYLE,3.7,1156,28.9M,"50,000+",Free,$0,Everyone,Lifestyle,"May 18, 2024",2.4.7,8.0 and up
