App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Quick Hero Comm 1106,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.602,0.622
Quick Hero Comm 1106,Battery drain is immense and phone overheats quickly.,Negative,-0.83,0.816
Quick Hero Comm 1106,"Good concept, waiting for future feature updates.",Neutral,-0.048,0.185
Quick Hero Comm 1106,Essential utility for daily workflow. Fast loading.,Positive,0.72,0.492
Quick Hero Comm 1106,Incredible features and clean layout. Worth every penny.,Positive,0.43,0.687
Quick Hero Comm 1106,Absolutely love this app! Very smooth UI and responsive.,Positive,0.698,0.412
Quick Hero Comm 1106,Absolutely love this app! Very smooth UI and responsive.,Positive,0.423,0.581
Quick Hero Comm 1106,Absolutely love this app! Very smooth UI and responsive.,Positive,0.799,0.562
Daily 3D Life 2056,Essential utility for daily workflow. Fast loading.,Positive,0.467,0.474
Daily 3D Life 2056,"Works okay on tablet, bit clunky on small screens.",Neutral,0.063,0.387
Daily 3D Life 2056,Battery drain is immense and phone overheats quickly.,Negative,-0.279,0.702
Daily 3D Life 2056,Battery drain is immense and phone overheats quickly.,Negative,-0.308,0.504
Daily 3D Life 2056,"Decent app overall, does the job but lacks advanced customization.",Neutral,0.141,0.228
Daily 3D Life 2056,"Full of bugs, login screen freezes constantly.",Negative,-0.349,0.59
Daily 3D Life 2056,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.296,0.488
Smart Flow Prod 1387,"Good concept, waiting for future feature updates.",Neutral,-0.021,0.26
Smart Flow Prod 1387,Battery drain is immense and phone overheats quickly.,Negative,-0.475,0.519
Smart Flow Prod 1387,Essential utility for daily workflow. Fast loading.,Positive,0.699,0.566
Smart Flow Prod 1387,Incredible features and clean layout. Worth every penny.,Positive,0.846,0.661
Smart Flow Prod 1387,"Good concept, waiting for future feature updates.",Neutral,0.142,0.196
Smart Flow Prod 1387,"Best in its class, saves me so much time every day.",Positive,0.493,0.567
Smart Flow Prod 1387,Incredible features and clean layout. Worth every penny.,Positive,0.608,0.712
Smart Flow Prod 1387,"Good concept, waiting for future feature updates.",Neutral,0.119,0.193
Smart Flow Prod 1387,Incredible features and clean layout. Worth every penny.,Positive,0.27,0.763
Quick Vault Heal 1037,Game is highly addictive with stellar graphics!,Positive,0.751,0.629
Quick Vault Heal 1037,Essential utility for daily workflow. Fast loading.,Positive,0.825,0.764
Quick Vault Heal 1037,Incredible features and clean layout. Worth every penny.,Positive,0.888,0.561
Quick Vault Heal 1037,Essential utility for daily workflow. Fast loading.,Positive,0.581,0.62
Quick Vault Heal 1037,Incredible features and clean layout. Worth every penny.,Positive,0.646,0.519
Quick Vault Heal 1037,Absolutely love this app! Very smooth UI and responsive.,Positive,0.464,0.527
Quick Vault Heal 1037,Game is highly addictive with stellar graphics!,Positive,0.256,0.656
Quick Vault Heal 1037,Average performance. UI could use some polishing.,Neutral,-0.002,0.287
Quick Vault Heal 1037,Essential utility for daily workflow. Fast loading.,Positive,0.72,0.564
Quick Vault Heal 1037,"Best in its class, saves me so much time every day.",Positive,0.598,0.667
Easy Plus Pers 322,"Good concept, waiting for future feature updates.",Neutral,0.063,0.245
Easy Plus Pers 322,"Best in its class, saves me so much time every day.",Positive,0.335,0.799
Easy Plus Pers 322,Game is highly addictive with stellar graphics!,Positive,0.36,0.562
Easy Plus Pers 322,Battery drain is immense and phone overheats quickly.,Negative,-0.338,0.721
Easy Plus Pers 322,Game is highly addictive with stellar graphics!,Positive,0.292,0.775
Easy Plus Pers 322,Too many intrusive video ads every 30 seconds. Uninstalled.,Negative,-0.751,0.735
Easy Plus Pers 322,Absolutely love this app! Very smooth UI and responsive.,Positive,0.558,0.464
Easy Plus Pers 322,"Good concept, waiting for future feature updates.",Neutral,0.067,0.373
Easy Plus Pers 322,Game is highly addictive with stellar graphics!,Positive,0.458,0.456
Easy Plus Pers 322,Absolutely love this app! Very smooth UI and responsive.,Positive,0.402,0.567
Easy Flow Comm 2243,Customer service never responded to my refund ticket.,Negative,-0.306,0.584
Easy Flow Comm 2243,"Full of bugs, login screen freezes constantly.",Negative,-0.494,0.689
Easy Flow Comm 2243,Average performance. UI could use some polishing.,Neutral,0.015,0.293
Easy Flow Comm 2243,"Best in its class, saves me so much time every day.",Positive,0.549,0.754
Easy Flow Comm 2243,Incredible features and clean layout. Worth every penny.,Positive,0.649,0.727
Easy Flow Comm 2243,Incredible features and clean layout. Worth every penny.,Positive,0.673,0.737
Easy Flow Comm 2243,Great customer support and seamless synchronization.,Positive,0.498,0.605
Easy Flow Comm 2243,Absolutely love this app! Very smooth UI and responsive.,Positive,0.371,0.726
Hyper Lite Tool 1757,Incredible features and clean layout. Worth every penny.,Positive,0.727,0.788
Hyper Lite Tool 1757,Subscription fee is ridiculous for basic features that used to be free.,Negative,-0.339,0.688
Hyper Lite Tool 1757,"Best in its class, saves me so much time every day.",Positive,0.902,0.526
Hyper Lite Tool 1757,"Best in its class, saves me so much time every day.",Positive,0.67,0.494
