House_ID,Square_Feet,Bedrooms,Bathrooms,Floors,Year_Built,House_Age,Neighborhood,Overall_Condition,Garage_Capacity,Has_Pool,Distance_to_City_Center_km,Price
HSE-10001,2422,3,2.2,1,1976,48,Uptown,Excellent,2.0,0,12.2,566500.0
HSE-10002,2010,2,1.5,1,1993,31,Suburbs,Good,2.0,0,8.1,476500.0
HSE-10003,2520,3,2.8,1,2008,16,Suburbs,Good,2.0,0,8.1,577300.0
HSE-10004,3089,2,1.0,2,2012,12,Rural,Good,2.0,0,2.2,641200.0
HSE-10005,1947,4,2.5,2,1979,45,Suburbs,Good,1.0,0,3.9,480400.0
HSE-10006,1947,5,4.2,1,1993,31,Downtown,Good,2.0,1,8.7,624100.0
HSE-10007,3126,2,1.5,2,2009,15,Suburbs,Good,2.0,0,19.3,628000.0
HSE-10008,2598,5,3.8,2,2007,17,Downtown,Excellent,2.0,0,5.3,753900.0
HSE-10009,1794,3,2.2,1,2013,11,Downtown,Excellent,2.0,0,9.4,583300.0
HSE-10010,2452,3,2.2,1,1985,39,Suburbs,Good,2.0,1,6.2,619700.0
HSE-10011,1798,2,2.0,2,1979,45,Suburbs,Good,2.0,0,3.1,487600.0
HSE-10012,1797,3,2.8,3,1978,46,Suburbs,Good,2.0,0,33.8,392300.0
HSE-10013,2257,4,3.0,1,2006,18,Uptown,Fair,2.0,1,21.3,602800.0
HSE-10014,856,4,3.0,1,2008,16,Uptown,Good,2.0,0,2.8,435400.0
HSE-10015,978,2,2.0,1,1980,44,Downtown,Good,2.0,1,14.7,374400.0
HSE-10016,1734,2,1.0,2,1979,45,Downtown,Fair,2.0,0,6.3,431000.0
HSE-10017,1441,3,2.2,1,2006,18,Suburbs,Excellent,2.0,0,45.0,404100.0
HSE-10018,2304,3,2.8,1,1968,56,Suburbs,Good,1.0,0,5.6,520000.0
HSE-10019,1509,2,1.5,2,1991,33,Suburbs,Good,1.0,0,4.7,386100.0
HSE-10020,1182,3,2.2,2,1987,37,Suburbs,Fair,0.0,0,10.4,255200.0
HSE-10021,3052,4,2.5,1,1993,31,Suburbs,Fair,2.0,0,20.0,615600.0
HSE-10022,1953,4,3.5,1,2005,19,Downtown,Excellent,2.0,0,4.1,689900.0
HSE-10023,2143,3,2.2,2,2017,7,Downtown,Good,3.0,0,14.4,620200.0
HSE-10024,1173,4,3.0,1,2016,8,Rural,Excellent,1.0,0,2.6,400100.0
HSE-10025,1746,3,2.2,1,1973,51,Suburbs,Excellent,1.0,1,27.1,471900.0
HSE-10026,2172,3,2.2,2,2017,7,Uptown,Good,1.0,0,2.8,558400.0
HSE-10027,1351,2,1.5,1,2021,3,Waterfront,Good,0.0,0,26.6,443100.0
HSE-10028,2344,3,2.2,2,2020,4,Downtown,Excellent,2.0,0,8.7,730700.0
HSE-10029,1709,5,3.8,2,2016,8,Suburbs,Excellent,1.0,0,7.9,541700.0
