fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.55,0.821,0.35,4.37,0.0613,14.4,32.4,0.9961,3.23,1.01,9.59,5
8.31,0.211,0.45,1.04,0.0691,32.0,153.5,0.9949,3.28,0.66,10.06,7
9.91,0.527,0.0,1.11,0.025,7.8,42.5,0.9961,3.09,0.7,9.98,6
7.36,0.303,0.15,1.93,0.088,19.4,61.7,0.9951,3.05,0.61,9.4,6
5.12,0.47,0.09,1.07,0.1394,12.9,45.8,0.9925,3.59,0.64,10.21,5
11.78,0.428,0.27,1.54,0.0949,33.4,97.2,0.998,3.14,0.9,9.41,5
6.6,0.467,0.34,1.14,0.1512,8.1,45.7,0.9935,3.59,0.41,10.41,5
6.5,0.318,0.6,2.42,0.1329,6.6,45.1,0.9946,3.5,0.57,9.52,7
10.18,0.397,0.2,5.38,0.1156,28.2,100.5,0.9972,3.17,0.91,10.96,6
7.65,0.632,0.2,9.49,0.0875,2.6,12.3,0.9967,3.33,0.85,11.46,6
8.19,0.462,0.42,1.61,0.0954,3.8,29.9,0.9964,3.38,0.54,8.4,4
9.12,0.447,0.38,2.27,0.1101,3.0,26.7,0.9948,3.38,0.87,11.45,7
10.14,0.697,0.52,3.81,0.0688,24.2,100.2,0.9958,3.26,0.74,11.85,6
7.73,0.483,0.3,1.09,0.015,2.1,34.7,0.9954,3.47,0.9,8.97,5
10.88,0.448,0.04,2.65,0.1092,25.7,87.9,0.9959,3.15,0.65,11.85,5
4.67,0.531,0.01,1.69,0.0443,9.2,27.0,0.9922,3.37,0.81,10.59,5
9.59,0.771,0.0,1.25,0.051,2.0,20.6,0.9963,3.24,1.09,9.47,5
6.87,0.523,0.41,1.67,0.0845,8.2,29.5,0.9937,3.41,0.78,10.57,6
10.63,0.48,0.46,1.02,0.0857,4.5,26.2,0.996,3.05,0.65,10.73,5
8.54,0.652,0.58,2.68,0.033,13.8,53.4,0.9956,3.14,0.76,10.25,5
7.16,0.303,0.44,1.34,0.0911,15.6,60.9,0.9933,3.42,0.62,11.16,6
9.43,0.686,0.46,1.46,0.1281,10.0,64.1,0.9965,3.2,1.05,9.25,5
9.82,0.639,0.15,1.09,0.0444,2.5,13.0,0.9957,3.21,0.67,10.34,5
9.39,0.518,0.04,3.9,0.1404,14.8,53.5,0.9978,3.21,0.59,8.76,5
6.55,0.427,0.4,1.92,0.0271,24.1,83.1,0.994,3.58,0.5,10.06,5
7.48,0.339,0.37,2.17,0.1692,17.3,67.7,0.995,3.5,0.87,9.72,6
8.29,0.661,0.27,2.16,0.073,23.3,59.8,0.9958,3.16,0.79,9.44,5
8.23,0.699,0.36,1.69,0.0903,4.7,30.5,0.9936,3.25,0.6,11.86,6
9.57,0.382,0.35,1.22,0.015,28.4,120.3,0.9945,3.35,0.78,11.72,6
4.87,0.648,0.48,2.95,0.087,6.7,38.7,0.9927,3.55,0.38,10.78,5
8.87,0.135,0.52,1.1,0.0936,2.2,12.5,0.9957,3.28,0.71,9.53,6
7.81,0.471,0.35,1.06,0.0861,24.2,105.2,0.9947,3.2,0.72,9.86,5
6.87,0.565,0.4,2.76,0.067,36.1,104.9,0.9935,3.3,0.93,11.39,5
7.04,0.255,0.42,1.25,0.0416,14.8,37.9,0.9932,3.31,0.59,11.22,7
7.94,0.251,0.25,1.45,0.1247,5.2,33.7,0.9921,3.36,0.5,13.39,7
4.6,0.376,0.43,1.87,0.0857,5.5,20.4,0.9919,3.7,0.53,11.02,6
7.11,0.62,0.0,1.79,0.1511,9.5,48.5,0.9941,3.29,0.41,10.37,5
6.81,0.538,0.44,2.75,0.0684,29.4,127.0,0.9947,3.26,0.87,9.87,5
9.21,0.12,0.07,2.36,0.0671,3.9,10.6,0.9955,3.25,0.94,10.76,6
6.93,0.209,0.3,2.45,0.1221,23.0,87.8,0.9945,3.5,0.69,10.02,5
7.93,0.467,0.1,2.78,0.0246,6.1,34.0,0.9947,3.15,0.85,10.88,5
10.92,0.568,0.39,1.42,0.036,21.8,45.8,0.9956,3.35,0.7,11.58,6
9.99,0.183,0.2,1.48,0.1384,32.3,105.4,0.9971,3.2,0.58,8.94,4
9.83,0.325,0.04,1.76,0.0326,8.7,27.9,0.9965,3.15,0.66,9.74,7
7.45,0.481,0.33,1.45,0.0167,7.5,42.4,0.9958,3.16,0.59,8.4,5
9.22,0.726,0.19,7.19,0.1592,21.4,71.1,0.9971,3.35,0.42,11.13,6
7.9,0.505,0.41,3.42,0.0337,11.0,45.4,0.9963,3.31,0.68,9.07,5
7.97,0.555,0.29,1.17,0.0919,15.8,51.6,0.996,3.35,0.67,8.47,6
9.0,0.514,0.36,0.91,0.0873,13.7,60.6,0.9946,3.17,0.81,11.01,6
7.29,0.208,0.08,0.97,0.015,4.0,29.8,0.9921,3.32,0.66,12.67,5
10.84,0.541,0.22,1.32,0.0688,24.4,90.4,0.996,3.12,0.69,11.07,7
8.03,0.527,0.21,1.08,0.1024,4.6,37.1,0.9936,3.31,0.53,11.46,6
9.35,0.496,0.48,2.04,0.0937,34.3,144.9,0.9951,3.18,0.73,11.16,7
10.77,1.077,0.63,3.83,0.1156,5.5,41.4,0.997,3.0,0.85,10.98,7
10.05,0.136,0.15,2.9,0.069,17.9,70.5,0.9957,3.55,0.49,11.54,6
5.9,0.703,0.52,1.26,0.108,6.0,27.3,0.9927,3.27,0.73,10.78,7
9.06,0.521,0.0,1.66,0.0619,6.6,25.3,0.9954,3.29,0.68,10.44,5
9.75,0.619,0.04,1.96,0.0331,6.5,28.0,0.9959,3.03,0.52,10.5,5
9.82,0.562,0.08,3.39,0.0376,18.5,94.5,0.9973,2.99,0.54,9.51,5
6.41,0.498,0.01,3.64,0.031,11.8,63.8,0.9937,3.42,0.68,11.17,5
7.18,0.473,0.0,4.51,0.1299,27.7,96.5,0.9955,3.39,0.45,10.0,5
9.99,0.626,0.32,1.97,0.0289,6.4,8.0,0.9969,3.38,0.7,9.42,5
7.01,0.232,0.25,2.68,0.0955,16.1,52.3,0.9937,3.42,0.53,11.16,6
7.79,0.698,0.32,1.08,0.0789,18.8,81.8,0.9952,3.32,0.82,9.28,5
10.98,0.499,0.37,2.15,0.0854,4.0,19.0,0.9971,3.06,1.04,10.2,5
8.22,0.298,0.34,1.33,0.139,8.1,33.5,0.9945,3.49,0.53,10.62,6
7.06,0.493,0.37,1.75,0.072,9.9,51.4,0.9933,3.48,0.73,11.26,5
6.81,0.704,0.28,2.41,0.109,7.3,43.5,0.9935,3.24,0.56,11.1,6
8.87,0.479,0.04,1.35,0.091,6.7,31.7,0.9953,3.29,0.82,10.15,5
6.03,0.391,0.56,0.98,0.0684,15.9,39.1,0.9914,3.44,0.54,12.34,8
7.88,0.366,0.18,0.92,0.1765,4.9,22.2,0.993,3.29,0.76,12.02,6
8.87,0.699,0.08,0.93,0.0318,16.8,66.1,0.9947,3.37,0.49,10.73,5
10.51,0.847,0.14,0.91,0.1511,34.8,139.0,0.997,3.3,0.52,9.29,3
9.43,0.804,0.13,1.08,0.1108,12.0,46.2,0.9963,3.23,0.5,9.31,6
7.09,0.46,0.21,1.31,0.0653,13.3,62.7,0.9945,3.34,0.82,9.56,6
10.3,0.604,0.35,1.28,0.1497,2.9,23.7,0.9962,3.39,0.54,10.32,6
7.79,0.507,0.35,7.39,0.015,26.0,79.0,0.9971,3.45,0.77,10.02,6
6.2,0.79,0.09,1.45,0.0686,6.0,24.9,0.9936,3.42,0.58,9.99,5
8.01,0.448,0.16,1.1,0.0412,13.5,51.8,0.9946,3.13,0.62,10.23,5
10.74,0.697,0.44,2.08,0.106,48.4,165.6,0.9965,3.23,0.67,10.7,5
8.58,0.377,0.42,3.83,0.035,12.9,46.5,0.9954,3.38,0.59,11.0,7
8.32,0.479,0.66,2.6,0.1018,17.5,62.0,0.9947,2.98,0.72,11.11,6
11.08,0.586,0.46,1.43,0.082,9.1,41.3,0.9968,3.2,0.9,10.24,5
5.87,0.613,0.46,2.14,0.0703,2.7,13.7,0.9949,3.38,0.51,8.4,5
6.11,0.55,0.0,2.78,0.105,21.2,50.8,0.9947,3.39,0.84,9.24,5
5.55,0.607,0.39,2.85,0.0788,2.4,9.3,0.9937,3.34,0.89,10.03,5
8.93,0.758,0.28,2.55,0.041,16.5,79.6,0.9964,3.26,0.54,9.42,6
8.58,0.658,0.19,3.97,0.1966,2.3,27.5,0.9953,3.46,0.43,11.22,6
10.92,0.558,0.36,3.96,0.06,25.8,94.3,0.9958,3.13,0.77,12.61,7
8.71,0.413,0.46,2.2,0.015,4.1,27.8,0.9942,3.41,0.59,11.84,6
7.61,0.419,0.34,1.74,0.0558,10.7,41.4,0.9948,3.25,0.96,9.96,5
8.3,0.652,0.13,2.44,0.0338,12.9,55.9,0.9938,3.4,0.69,12.12,6
8.5,0.639,0.42,3.46,0.1175,9.3,37.5,0.9954,3.3,0.54,10.77,6
5.46,0.74,0.18,0.91,0.0974,7.0,13.3,0.9927,3.49,0.48,10.29,6
12.91,0.387,0.33,8.14,0.1004,9.6,41.8,1.001,3.08,0.87,10.01,6
9.18,0.451,0.24,1.2,0.0697,6.5,26.5,0.9954,3.34,0.58,10.32,6
8.66,0.211,0.25,1.85,0.0733,8.9,47.4,0.9953,2.98,0.69,10.24,6
9.35,0.503,0.39,3.98,0.0747,7.3,26.8,0.9966,3.09,0.8,10.35,5
9.51,0.819,0.02,1.28,0.0913,12.0,49.1,0.996,3.3,0.52,9.89,4
8.06,0.491,0.6,1.87,0.1229,5.3,10.4,0.9949,3.08,0.63,10.18,5
7.23,0.759,0.0,1.11,0.1079,55.7,161.2,0.9941,3.3,0.6,10.16,4
9.32,0.458,0.18,1.65,0.1045,10.3,38.3,0.9944,3.25,0.8,11.82,6
8.96,0.625,0.32,1.19,0.1095,4.6,28.8,0.9945,3.18,0.74,11.12,5
6.92,0.295,0.4,1.58,0.1199,9.8,26.5,0.9949,3.3,0.64,9.14,6
10.71,0.424,0.31,1.6,0.091,26.2,83.5,0.998,3.22,0.73,8.52,7
8.8,0.12,0.24,8.38,0.1039,2.3,20.6,0.9973,3.41,0.58,11.11,5
